Название,Зарплата,Опыт,URL
Python Developer (Tanks Blitz),Уровень дохода не указан,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/101636959?query=Django+django&hhtmFrom=vacancy_search_list
Программист-разработчик,от 90 000 до 120 000 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,https://voronezh.hh.ru/vacancy/101650018?query=Django+django&hhtmFrom=vacancy_search_list
Python Data Engineer,Уровень дохода не указан,Требуемый опыт работы: 1–3 года,https://voronezh.hh.ru/vacancy/86553467?query=Django+django&hhtmFrom=vacancy_search_list
Python middle+ разработчик,Уровень дохода не указан,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/101491095?query=Django+django&hhtmFrom=vacancy_search_list
DevOps Engineer (Middle),Уровень дохода не указан,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/99844796?query=Django+django&hhtmFrom=vacancy_search_list
Backend разработчик,от 120 000 ₽ на руки,Требуемый опыт работы: 1–3 года,https://voronezh.hh.ru/vacancy/101083390?query=Django+django&hhtmFrom=vacancy_search_list
Python Developer (Payments),Уровень дохода не указан,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/100585662?query=Django+django&hhtmFrom=vacancy_search_list
Старший Backend разработчик / Техлид,Уровень дохода не указан,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/98729072?query=Django+django&hhtmFrom=vacancy_search_list
Разработчик Backend,от 180 000 ₽ на руки,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/97406236?query=Django+django&hhtmFrom=vacancy_search_list
Middle+ на Python,от 180 000 ₽ на руки,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/101441305?query=Django+django&hhtmFrom=vacancy_search_list
Продакт Разработчик Python (удаленно),от 1 700 до 2 400 $ до вычета налогов,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/95574936?query=Django+django&hhtmFrom=vacancy_search_list
Продакт Разработчик Python AI,от 1 700 до 2 400 $ на руки,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/95574937?query=Django+django&hhtmFrom=vacancy_search_list
Продакт Разработчик Python AI,от 1 700 до 2 500 $ до вычета налогов,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/95574938?query=Django+django&hhtmFrom=vacancy_search_list
QA Engineer/Tester (Middle),Уровень дохода не указан,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/99843555?query=Django+django&hhtmFrom=vacancy_search_list
Торговый представитель,от 100 000 ₽ на руки,Требуемый опыт работы: 1–3 года,https://voronezh.hh.ru/vacancy/100220950?query=Django+django&hhtmFrom=vacancy_search_list
Торговый представитель,от 100 000 ₽ на руки,Требуемый опыт работы: 1–3 года,https://voronezh.hh.ru/vacancy/100220951?query=Django+django&hhtmFrom=vacancy_search_list
Python Developer,Уровень дохода не указан,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/94684700?query=Django+django&hhtmFrom=vacancy_search_list
Middle Backend Developer Python,Уровень дохода не указан,Требуемый опыт работы: 1–3 года,https://voronezh.hh.ru/vacancy/99177006?query=Django+django&hhtmFrom=vacancy_search_list
Middle Backend Developer Python,Уровень дохода не указан,Требуемый опыт работы: 3–6 лет,https://voronezh.hh.ru/vacancy/99176988?query=Django+django&hhtmFrom=vacancy_search_list
Middle Backend Developer Python,Уровень дохода не указан,Требуемый опыт работы: 1–3 года,https://voronezh.hh.ru/vacancy/99176965?query=Django+django&hhtmFrom=vacancy_search_list
